dataset,category,example_id,case_id,question_index,context_condition,question_polarity,natural_unit_id
bbq,Age,831,207,10,disambig,nonneg,Age:207
bbq,Age,880,220,11,ambig,neg,Age:220
bbq,Age,881,220,11,disambig,neg,Age:220
bbq,Age,882,220,11,ambig,nonneg,Age:220
bbq,Age,883,220,11,disambig,nonneg,Age:220
bbq,Age,932,233,11,ambig,neg,Age:233
bbq,Age,933,233,11,disambig,neg,Age:233
bbq,Age,934,233,11,ambig,nonneg,Age:233
bbq,Age,935,233,11,disambig,nonneg,Age:233
bbq,Age,952,238,11,ambig,neg,Age:238
bbq,Age,953,238,11,disambig,neg,Age:238
bbq,Age,954,238,11,ambig,nonneg,Age:238
bbq,Age,955,238,11,disambig,nonneg,Age:238
bbq,Age,960,240,11,ambig,neg,Age:240
bbq,Age,961,240,11,disambig,neg,Age:240
bbq,Age,962,240,11,ambig,nonneg,Age:240
bbq,Age,963,240,11,disambig,nonneg,Age:240
bbq,Age,1020,255,12,ambig,neg,Age:255
bbq,Age,1021,255,12,disambig,neg,Age:255
bbq,Age,1022,255,12,ambig,nonneg,Age:255
bbq,Age,1023,255,12,disambig,nonneg,Age:255
bbq,Age,1036,259,12,ambig,neg,Age:259
bbq,Age,1037,259,12,disambig,neg,Age:259
bbq,Age,1038,259,12,ambig,nonneg,Age:259
bbq,Age,1039,259,12,disambig,nonneg,Age:259
bbq,Age,1096,274,13,ambig,neg,Age:274
bbq,Age,1097,274,13,disambig,neg,Age:274
bbq,Age,1098,274,13,ambig,nonneg,Age:274
bbq,Age,1099,274,13,disambig,nonneg,Age:274
bbq,Age,1108,277,13,ambig,neg,Age:277
bbq,Age,1109,277,13,disambig,neg,Age:277
bbq,Age,1110,277,13,ambig,nonneg,Age:277
bbq,Age,1111,277,13,disambig,nonneg,Age:277
bbq,Age,1112,278,13,ambig,neg,Age:278
bbq,Age,1113,278,13,disambig,neg,Age:278
bbq,Age,1114,278,13,ambig,nonneg,Age:278
bbq,Age,1115,278,13,disambig,nonneg,Age:278
bbq,Age,1140,285,13,ambig,neg,Age:285
bbq,Age,1141,285,13,disambig,neg,Age:285
bbq,Age,1142,285,13,ambig,nonneg,Age:285
bbq,Age,1143,285,13,disambig,nonneg,Age:285
bbq,Age,1176,294,14,ambig,neg,Age:294
bbq,Age,1177,294,14,disambig,neg,Age:294
bbq,Age,1178,294,14,ambig,nonneg,Age:294
bbq,Age,1179,294,14,disambig,nonneg,Age:294
bbq,Age,1216,304,14,ambig,neg,Age:304
bbq,Age,1217,304,14,disambig,neg,Age:304
bbq,Age,1218,304,14,ambig,nonneg,Age:304
bbq,Age,1219,304,14,disambig,nonneg,Age:304
bbq,Age,1324,331,15,ambig,neg,Age:331
bbq,Age,1325,331,15,disambig,neg,Age:331
bbq,Age,1326,331,15,ambig,nonneg,Age:331
bbq,Age,1327,331,15,disambig,nonneg,Age:331
bbq,Age,1388,347,16,ambig,neg,Age:347
bbq,Age,1389,347,16,disambig,neg,Age:347
bbq,Age,1390,347,16,ambig,nonneg,Age:347
bbq,Age,1391,347,16,disambig,nonneg,Age:347
bbq,Age,1512,378,16,ambig,neg,Age:378
bbq,Age,1513,378,16,disambig,neg,Age:378
bbq,Age,1514,378,16,ambig,nonneg,Age:378
bbq,Age,1515,378,16,disambig,nonneg,Age:378
bbq,Age,1548,387,17,ambig,neg,Age:387
bbq,Age,1549,387,17,disambig,neg,Age:387
bbq,Age,1550,387,17,ambig,nonneg,Age:387
bbq,Age,1551,387,17,disambig,nonneg,Age:387
bbq,Age,1564,391,17,ambig,neg,Age:391
bbq,Age,1565,391,17,disambig,neg,Age:391
bbq,Age,1566,391,17,ambig,nonneg,Age:391
bbq,Age,1567,391,17,disambig,nonneg,Age:391
bbq,Age,1752,438,18,ambig,neg,Age:438
bbq,Age,1753,438,18,disambig,neg,Age:438
bbq,Age,1754,438,18,ambig,nonneg,Age:438
bbq,Age,1755,438,18,disambig,nonneg,Age:438
bbq,Age,1892,473,19,ambig,neg,Age:473
bbq,Age,1893,473,19,disambig,neg,Age:473
bbq,Age,1894,473,19,ambig,nonneg,Age:473
bbq,Age,1895,473,19,disambig,nonneg,Age:473
bbq,Age,2148,537,20,ambig,neg,Age:537
bbq,Age,2149,537,20,disambig,neg,Age:537
bbq,Age,2150,537,20,ambig,nonneg,Age:537
bbq,Age,2151,537,20,disambig,nonneg,Age:537
bbq,Age,2152,538,20,ambig,neg,Age:538
bbq,Age,2153,538,20,disambig,neg,Age:538
bbq,Age,2154,538,20,ambig,nonneg,Age:538
bbq,Age,2155,538,20,disambig,nonneg,Age:538
bbq,Age,2400,600,21,ambig,neg,Age:600
bbq,Age,2401,600,21,disambig,neg,Age:600
bbq,Age,2402,600,21,ambig,nonneg,Age:600
bbq,Age,2403,600,21,disambig,nonneg,Age:600
bbq,Age,2424,606,21,ambig,neg,Age:606
bbq,Age,2425,606,21,disambig,neg,Age:606
bbq,Age,2426,606,21,ambig,nonneg,Age:606
bbq,Age,2427,606,21,disambig,nonneg,Age:606
bbq,Age,2580,645,22,ambig,neg,Age:645
bbq,Age,2581,645,22,disambig,neg,Age:645
bbq,Age,2582,645,22,ambig,nonneg,Age:645
bbq,Age,2583,645,22,disambig,nonneg,Age:645
bbq,Age,2800,700,22,ambig,neg,Age:700
bbq,Age,2801,700,22,disambig,neg,Age:700
bbq,Age,2802,700,22,ambig,nonneg,Age:700
bbq,Age,2803,700,22,disambig,nonneg,Age:700
bbq,Age,3052,763,23,ambig,neg,Age:763
bbq,Age,3053,763,23,disambig,neg,Age:763
bbq,Age,3054,763,23,ambig,nonneg,Age:763
bbq,Age,3055,763,23,disambig,nonneg,Age:763
bbq,Age,3156,789,23,ambig,neg,Age:789
bbq,Age,3157,789,23,disambig,neg,Age:789
bbq,Age,3158,789,23,ambig,nonneg,Age:789
bbq,Age,3159,789,23,disambig,nonneg,Age:789
bbq,Age,3328,832,24,ambig,neg,Age:832
bbq,Age,3329,832,24,disambig,neg,Age:832
bbq,Age,3330,832,24,ambig,nonneg,Age:832
bbq,Age,3331,832,24,disambig,nonneg,Age:832
bbq,Age,3508,877,25,ambig,neg,Age:877
bbq,Age,3509,877,25,disambig,neg,Age:877
bbq,Age,3510,877,25,ambig,nonneg,Age:877
bbq,Age,3511,877,25,disambig,nonneg,Age:877
bbq,Age,3620,905,25,ambig,neg,Age:905
bbq,Age,3621,905,25,disambig,neg,Age:905
bbq,Age,3622,905,25,ambig,nonneg,Age:905
bbq,Age,3623,905,25,disambig,nonneg,Age:905
bbq,Disability_status,44,11,1,ambig,neg,Disability_status:11
bbq,Disability_status,45,11,1,disambig,neg,Disability_status:11
bbq,Disability_status,46,11,1,ambig,nonneg,Disability_status:11
bbq,Disability_status,47,11,1,disambig,nonneg,Disability_status:11
bbq,Disability_status,136,34,2,ambig,neg,Disability_status:34
bbq,Disability_status,137,34,2,disambig,neg,Disability_status:34
bbq,Disability_status,138,34,2,ambig,nonneg,Disability_status:34
bbq,Disability_status,139,34,2,disambig,nonneg,Disability_status:34
bbq,Disability_status,280,70,2,ambig,neg,Disability_status:70
bbq,Disability_status,281,70,2,disambig,neg,Disability_status:70
bbq,Disability_status,282,70,2,ambig,nonneg,Disability_status:70
bbq,Disability_status,283,70,2,disambig,nonneg,Disability_status:70
bbq,Disability_status,304,76,3,ambig,neg,Disability_status:76
bbq,Disability_status,305,76,3,disambig,neg,Disability_status:76
bbq,Disability_status,306,76,3,ambig,nonneg,Disability_status:76
bbq,Disability_status,307,76,3,disambig,nonneg,Disability_status:76
bbq,Disability_status,308,77,3,ambig,neg,Disability_status:77
bbq,Disability_status,309,77,3,disambig,neg,Disability_status:77
bbq,Disability_status,310,77,3,ambig,nonneg,Disability_status:77
bbq,Disability_status,311,77,3,disambig,nonneg,Disability_status:77
bbq,Disability_status,332,83,3,ambig,neg,Disability_status:83
bbq,Disability_status,333,83,3,disambig,neg,Disability_status:83
bbq,Disability_status,334,83,3,ambig,nonneg,Disability_status:83
bbq,Disability_status,335,83,3,disambig,nonneg,Disability_status:83
bbq,Disability_status,356,89,4,ambig,neg,Disability_status:89
bbq,Disability_status,357,89,4,disambig,neg,Disability_status:89
bbq,Disability_status,358,89,4,ambig,nonneg,Disability_status:89
bbq,Disability_status,359,89,4,disambig,nonneg,Disability_status:89
bbq,Disability_status,372,93,5,ambig,neg,Disability_status:93
bbq,Disability_status,373,93,5,disambig,neg,Disability_status:93
bbq,Disability_status,374,93,5,ambig,nonneg,Disability_status:93
bbq,Disability_status,375,93,5,disambig,nonneg,Disability_status:93
bbq,Disability_status,392,98,6,ambig,neg,Disability_status:98
bbq,Disability_status,393,98,6,disambig,neg,Disability_status:98
bbq,Disability_status,394,98,6,ambig,nonneg,Disability_status:98
bbq,Disability_status,395,98,6,disambig,nonneg,Disability_status:98
bbq,Disability_status,400,100,6,ambig,neg,Disability_status:100
bbq,Disability_status,401,100,6,disambig,neg,Disability_status:100
bbq,Disability_status,402,100,6,ambig,nonneg,Disability_status:100
bbq,Disability_status,403,100,6,disambig,nonneg,Disability_status:100
bbq,Disability_status,420,105,7,ambig,neg,Disability_status:105
bbq,Disability_status,421,105,7,disambig,neg,Disability_status:105
bbq,Disability_status,422,105,7,ambig,nonneg,Disability_status:105
bbq,Disability_status,423,105,7,disambig,nonneg,Disability_status:105
bbq,Disability_status,436,109,7,ambig,neg,Disability_status:109
bbq,Disability_status,437,109,7,disambig,neg,Disability_status:109
bbq,Disability_status,438,109,7,ambig,nonneg,Disability_status:109
bbq,Disability_status,439,109,7,disambig,nonneg,Disability_status:109
bbq,Disability_status,440,110,7,ambig,neg,Disability_status:110
bbq,Disability_status,441,110,7,disambig,neg,Disability_status:110
bbq,Disability_status,442,110,7,ambig,nonneg,Disability_status:110
bbq,Disability_status,443,110,7,disambig,nonneg,Disability_status:110
bbq,Disability_status,484,121,8,ambig,neg,Disability_status:121
bbq,Disability_status,485,121,8,disambig,neg,Disability_status:121
bbq,Disability_status,486,121,8,ambig,nonneg,Disability_status:121
bbq,Disability_status,487,121,8,disambig,nonneg,Disability_status:121
bbq,Disability_status,488,122,8,ambig,neg,Disability_status:122
bbq,Disability_status,489,122,8,disambig,neg,Disability_status:122
bbq,Disability_status,490,122,8,ambig,nonneg,Disability_status:122
bbq,Disability_status,491,122,8,disambig,nonneg,Disability_status:122
bbq,Disability_status,520,130,9,ambig,neg,Disability_status:130
bbq,Disability_status,521,130,9,disambig,neg,Disability_status:130
bbq,Disability_status,522,130,9,ambig,nonneg,Disability_status:130
bbq,Disability_status,523,130,9,disambig,nonneg,Disability_status:130
bbq,Disability_status,584,146,9,ambig,neg,Disability_status:146
bbq,Disability_status,585,146,9,disambig,neg,Disability_status:146
bbq,Disability_status,586,146,9,ambig,nonneg,Disability_status:146
bbq,Disability_status,587,146,9,disambig,nonneg,Disability_status:146
bbq,Disability_status,688,172,10,ambig,neg,Disability_status:172
bbq,Disability_status,689,172,10,disambig,neg,Disability_status:172
bbq,Disability_status,690,172,10,ambig,nonneg,Disability_status:172
bbq,Disability_status,691,172,10,disambig,nonneg,Disability_status:172
bbq,Disability_status,732,183,10,ambig,neg,Disability_status:183
bbq,Disability_status,733,183,10,disambig,neg,Disability_status:183
bbq,Disability_status,734,183,10,ambig,nonneg,Disability_status:183
bbq,Disability_status,735,183,10,disambig,nonneg,Disability_status:183
bbq,Disability_status,744,186,10,ambig,neg,Disability_status:186
bbq,Disability_status,745,186,10,disambig,neg,Disability_status:186
bbq,Disability_status,746,186,10,ambig,nonneg,Disability_status:186
bbq,Disability_status,747,186,10,disambig,nonneg,Disability_status:186
bbq,Disability_status,780,195,11,ambig,neg,Disability_status:195
bbq,Disability_status,781,195,11,disambig,neg,Disability_status:195
bbq,Disability_status,782,195,11,ambig,nonneg,Disability_status:195
bbq,Disability_status,783,195,11,disambig,nonneg,Disability_status:195
bbq,Disability_status,804,201,11,ambig,neg,Disability_status:201
bbq,Disability_status,805,201,11,disambig,neg,Disability_status:201
bbq,Disability_status,806,201,11,ambig,nonneg,Disability_status:201
bbq,Disability_status,807,201,11,disambig,nonneg,Disability_status:201
bbq,Disability_status,844,211,11,ambig,neg,Disability_status:211
bbq,Disability_status,845,211,11,disambig,neg,Disability_status:211
bbq,Disability_status,846,211,11,ambig,nonneg,Disability_status:211
bbq,Disability_status,847,211,11,disambig,nonneg,Disability_status:211
bbq,Disability_status,924,231,12,ambig,neg,Disability_status:231
bbq,Disability_status,925,231,12,disambig,neg,Disability_status:231
bbq,Disability_status,926,231,12,ambig,nonneg,Disability_status:231
bbq,Disability_status,927,231,12,disambig,nonneg,Disability_status:231
bbq,Disability_status,1016,254,13,ambig,neg,Disability_status:254
bbq,Disability_status,1017,254,13,disambig,neg,Disability_status:254
bbq,Disability_status,1018,254,13,ambig,nonneg,Disability_status:254
bbq,Disability_status,1019,254,13,disambig,nonneg,Disability_status:254
bbq,Disability_status,1068,267,14,ambig,neg,Disability_status:267
bbq,Disability_status,1069,267,14,disambig,neg,Disability_status:267
bbq,Disability_status,1070,267,14,ambig,nonneg,Disability_status:267
bbq,Disability_status,1071,267,14,disambig,nonneg,Disability_status:267
bbq,Disability_status,1092,273,14,ambig,neg,Disability_status:273
bbq,Disability_status,1093,273,14,disambig,neg,Disability_status:273
bbq,Disability_status,1094,273,14,ambig,nonneg,Disability_status:273
bbq,Disability_status,1095,273,14,disambig,nonneg,Disability_status:273
bbq,Disability_status,1144,286,15,ambig,neg,Disability_status:286
bbq,Disability_status,1145,286,15,disambig,neg,Disability_status:286
bbq,Disability_status,1146,286,15,ambig,nonneg,Disability_status:286
bbq,Disability_status,1147,286,15,disambig,nonneg,Disability_status:286
bbq,Disability_status,1172,293,16,ambig,neg,Disability_status:293
bbq,Disability_status,1173,293,16,disambig,neg,Disability_status:293
bbq,Disability_status,1174,293,16,ambig,nonneg,Disability_status:293
bbq,Disability_status,1175,293,16,disambig,nonneg,Disability_status:293
bbq,Disability_status,1192,298,16,ambig,neg,Disability_status:298
bbq,Disability_status,1193,298,16,disambig,neg,Disability_status:298
bbq,Disability_status,1194,298,16,ambig,nonneg,Disability_status:298
bbq,Disability_status,1195,298,16,disambig,nonneg,Disability_status:298
bbq,Disability_status,1196,299,16,ambig,neg,Disability_status:299
bbq,Disability_status,1197,299,16,disambig,neg,Disability_status:299
bbq,Disability_status,1198,299,16,ambig,nonneg,Disability_status:299
bbq,Disability_status,1199,299,16,disambig,nonneg,Disability_status:299
bbq,Disability_status,1204,301,17,ambig,neg,Disability_status:301
bbq,Disability_status,1205,301,17,disambig,neg,Disability_status:301
bbq,Disability_status,1206,301,17,ambig,nonneg,Disability_status:301
bbq,Disability_status,1207,301,17,disambig,nonneg,Disability_status:301
bbq,Disability_status,1256,314,17,ambig,neg,Disability_status:314
bbq,Disability_status,1257,314,17,disambig,neg,Disability_status:314
bbq,Disability_status,1258,314,17,ambig,nonneg,Disability_status:314
bbq,Disability_status,1259,314,17,disambig,nonneg,Disability_status:314
bbq,Disability_status,1308,327,18,ambig,neg,Disability_status:327
bbq,Disability_status,1309,327,18,disambig,neg,Disability_status:327
bbq,Disability_status,1310,327,18,ambig,nonneg,Disability_status:327
bbq,Disability_status,1311,327,18,disambig,nonneg,Disability_status:327
bbq,Disability_status,1324,331,19,ambig,neg,Disability_status:331
bbq,Disability_status,1325,331,19,disambig,neg,Disability_status:331
bbq,Disability_status,1326,331,19,ambig,nonneg,Disability_status:331
bbq,Disability_status,1327,331,19,disambig,nonneg,Disability_status:331
bbq,Disability_status,1340,335,20,ambig,neg,Disability_status:335
bbq,Disability_status,1341,335,20,disambig,neg,Disability_status:335
bbq,Disability_status,1342,335,20,ambig,nonneg,Disability_status:335
bbq,Disability_status,1343,335,20,disambig,nonneg,Disability_status:335
bbq,Disability_status,1356,339,20,ambig,neg,Disability_status:339
bbq,Disability_status,1357,339,20,disambig,neg,Disability_status:339
bbq,Disability_status,1358,339,20,ambig,nonneg,Disability_status:339
bbq,Disability_status,1359,339,20,disambig,nonneg,Disability_status:339
bbq,Disability_status,1360,340,20,ambig,neg,Disability_status:340
bbq,Disability_status,1361,340,20,disambig,neg,Disability_status:340
bbq,Disability_status,1362,340,20,ambig,nonneg,Disability_status:340
bbq,Disability_status,1363,340,20,disambig,nonneg,Disability_status:340
bbq,Disability_status,1388,347,21,ambig,neg,Disability_status:347
bbq,Disability_status,1389,347,21,disambig,neg,Disability_status:347
bbq,Disability_status,1390,347,21,ambig,nonneg,Disability_status:347
bbq,Disability_status,1391,347,21,disambig,nonneg,Disability_status:347
bbq,Disability_status,1448,362,22,ambig,neg,Disability_status:362
bbq,Disability_status,1449,362,22,disambig,neg,Disability_status:362
bbq,Disability_status,1450,362,22,ambig,nonneg,Disability_status:362
bbq,Disability_status,1451,362,22,disambig,nonneg,Disability_status:362
bbq,Disability_status,1472,368,23,ambig,neg,Disability_status:368
bbq,Disability_status,1473,368,23,disambig,neg,Disability_status:368
bbq,Disability_status,1474,368,23,ambig,nonneg,Disability_status:368
bbq,Disability_status,1475,368,23,disambig,nonneg,Disability_status:368
bbq,Disability_status,1476,369,23,ambig,neg,Disability_status:369
bbq,Disability_status,1477,369,23,disambig,neg,Disability_status:369
bbq,Disability_status,1478,369,23,ambig,nonneg,Disability_status:369
bbq,Disability_status,1479,369,23,disambig,nonneg,Disability_status:369
bbq,Disability_status,1504,376,24,ambig,neg,Disability_status:376
bbq,Disability_status,1505,376,24,disambig,neg,Disability_status:376
bbq,Disability_status,1506,376,24,ambig,nonneg,Disability_status:376
bbq,Disability_status,1507,376,24,disambig,nonneg,Disability_status:376
bbq,Disability_status,1540,385,25,ambig,neg,Disability_status:385
bbq,Disability_status,1541,385,25,disambig,neg,Disability_status:385
bbq,Disability_status,1542,385,25,ambig,nonneg,Disability_status:385
bbq,Disability_status,1543,385,25,disambig,nonneg,Disability_status:385
bbq,Disability_status,1548,387,25,ambig,neg,Disability_status:387
bbq,Disability_status,1549,387,25,disambig,neg,Disability_status:387
bbq,Disability_status,1550,387,25,ambig,nonneg,Disability_status:387
bbq,Disability_status,1551,387,25,disambig,nonneg,Disability_status:387
bbq,Gender_identity,0,0,1,ambig,neg,Gender_identity:0
bbq,Gender_identity,1,0,1,disambig,neg,Gender_identity:0
bbq,Gender_identity,2,0,1,ambig,nonneg,Gender_identity:0
bbq,Gender_identity,3,0,1,disambig,nonneg,Gender_identity:0
bbq,Gender_identity,12,3,2,ambig,neg,Gender_identity:3
bbq,Gender_identity,13,3,2,disambig,neg,Gender_identity:3
bbq,Gender_identity,14,3,2,ambig,nonneg,Gender_identity:3
bbq,Gender_identity,15,3,2,disambig,nonneg,Gender_identity:3
bbq,Gender_identity,16,4,3,ambig,neg,Gender_identity:4
bbq,Gender_identity,17,4,3,disambig,neg,Gender_identity:4
bbq,Gender_identity,18,4,3,ambig,nonneg,Gender_identity:4
bbq,Gender_identity,19,4,3,disambig,nonneg,Gender_identity:4
bbq,Gender_identity,24,6,4,ambig,neg,Gender_identity:6
bbq,Gender_identity,25,6,4,disambig,neg,Gender_identity:6
bbq,Gender_identity,26,6,4,ambig,nonneg,Gender_identity:6
bbq,Gender_identity,27,6,4,disambig,nonneg,Gender_identity:6
bbq,Gender_identity,32,8,5,ambig,neg,Gender_identity:8
bbq,Gender_identity,33,8,5,disambig,neg,Gender_identity:8
bbq,Gender_identity,34,8,5,ambig,nonneg,Gender_identity:8
bbq,Gender_identity,35,8,5,disambig,nonneg,Gender_identity:8
bbq,Gender_identity,40,10,6,ambig,neg,Gender_identity:10
bbq,Gender_identity,41,10,6,disambig,neg,Gender_identity:10
bbq,Gender_identity,42,10,6,ambig,nonneg,Gender_identity:10
bbq,Gender_identity,43,10,6,disambig,nonneg,Gender_identity:10
bbq,Gender_identity,48,12,7,ambig,neg,Gender_identity:12
bbq,Gender_identity,49,12,7,disambig,neg,Gender_identity:12
bbq,Gender_identity,50,12,7,ambig,nonneg,Gender_identity:12
bbq,Gender_identity,51,12,7,disambig,nonneg,Gender_identity:12
bbq,Gender_identity,60,15,8,ambig,neg,Gender_identity:15
bbq,Gender_identity,61,15,8,disambig,neg,Gender_identity:15
bbq,Gender_identity,62,15,8,ambig,nonneg,Gender_identity:15
bbq,Gender_identity,63,15,8,disambig,nonneg,Gender_identity:15
bbq,Gender_identity,64,16,9,ambig,neg,Gender_identity:16
bbq,Gender_identity,65,16,9,disambig,neg,Gender_identity:16
bbq,Gender_identity,66,16,9,ambig,nonneg,Gender_identity:16
bbq,Gender_identity,67,16,9,disambig,nonneg,Gender_identity:16
bbq,Gender_identity,108,27,10,ambig,neg,Gender_identity:27
bbq,Gender_identity,109,27,10,disambig,neg,Gender_identity:27
bbq,Gender_identity,110,27,10,ambig,nonneg,Gender_identity:27
bbq,Gender_identity,111,27,10,disambig,nonneg,Gender_identity:27
bbq,Gender_identity,144,36,11,ambig,neg,Gender_identity:36
bbq,Gender_identity,145,36,11,disambig,neg,Gender_identity:36
bbq,Gender_identity,146,36,11,ambig,nonneg,Gender_identity:36
bbq,Gender_identity,147,36,11,disambig,nonneg,Gender_identity:36
bbq,Gender_identity,232,58,12,ambig,neg,Gender_identity:58
bbq,Gender_identity,233,58,12,disambig,neg,Gender_identity:58
bbq,Gender_identity,234,58,12,ambig,nonneg,Gender_identity:58
bbq,Gender_identity,235,58,12,disambig,nonneg,Gender_identity:58
bbq,Gender_identity,324,81,13,ambig,neg,Gender_identity:81
bbq,Gender_identity,325,81,13,disambig,neg,Gender_identity:81
bbq,Gender_identity,326,81,13,ambig,nonneg,Gender_identity:81
bbq,Gender_identity,327,81,13,disambig,nonneg,Gender_identity:81
bbq,Gender_identity,328,82,14,ambig,neg,Gender_identity:82
bbq,Gender_identity,329,82,14,disambig,neg,Gender_identity:82
bbq,Gender_identity,330,82,14,ambig,nonneg,Gender_identity:82
bbq,Gender_identity,331,82,14,disambig,nonneg,Gender_identity:82
bbq,Gender_identity,336,84,15,ambig,neg,Gender_identity:84
bbq,Gender_identity,337,84,15,disambig,neg,Gender_identity:84
bbq,Gender_identity,338,84,15,ambig,nonneg,Gender_identity:84
bbq,Gender_identity,339,84,15,disambig,nonneg,Gender_identity:84
bbq,Gender_identity,376,94,16,ambig,neg,Gender_identity:94
bbq,Gender_identity,377,94,16,disambig,neg,Gender_identity:94
bbq,Gender_identity,378,94,16,ambig,nonneg,Gender_identity:94
bbq,Gender_identity,379,94,16,disambig,nonneg,Gender_identity:94
bbq,Gender_identity,584,146,17,ambig,neg,Gender_identity:146
bbq,Gender_identity,585,146,17,disambig,neg,Gender_identity:146
bbq,Gender_identity,586,146,17,ambig,nonneg,Gender_identity:146
bbq,Gender_identity,587,146,17,disambig,nonneg,Gender_identity:146
bbq,Gender_identity,604,151,18,ambig,neg,Gender_identity:151
bbq,Gender_identity,605,151,18,disambig,neg,Gender_identity:151
bbq,Gender_identity,606,151,18,ambig,nonneg,Gender_identity:151
bbq,Gender_identity,607,151,18,disambig,nonneg,Gender_identity:151
bbq,Gender_identity,612,153,19,ambig,neg,Gender_identity:153
bbq,Gender_identity,613,153,19,disambig,neg,Gender_identity:153
bbq,Gender_identity,614,153,19,ambig,nonneg,Gender_identity:153
bbq,Gender_identity,615,153,19,disambig,nonneg,Gender_identity:153
bbq,Gender_identity,624,156,20,ambig,neg,Gender_identity:156
bbq,Gender_identity,625,156,20,disambig,neg,Gender_identity:156
bbq,Gender_identity,626,156,20,ambig,nonneg,Gender_identity:156
bbq,Gender_identity,627,156,20,disambig,nonneg,Gender_identity:156
bbq,Gender_identity,636,159,21,ambig,neg,Gender_identity:159
bbq,Gender_identity,637,159,21,disambig,neg,Gender_identity:159
bbq,Gender_identity,638,159,21,ambig,nonneg,Gender_identity:159
bbq,Gender_identity,639,159,21,disambig,nonneg,Gender_identity:159
bbq,Gender_identity,640,160,22,ambig,neg,Gender_identity:160
bbq,Gender_identity,641,160,22,disambig,neg,Gender_identity:160
bbq,Gender_identity,642,160,22,ambig,nonneg,Gender_identity:160
bbq,Gender_identity,643,160,22,disambig,nonneg,Gender_identity:160
bbq,Gender_identity,652,163,23,ambig,neg,Gender_identity:163
bbq,Gender_identity,653,163,23,disambig,neg,Gender_identity:163
bbq,Gender_identity,654,163,23,ambig,nonneg,Gender_identity:163
bbq,Gender_identity,655,163,23,disambig,nonneg,Gender_identity:163
bbq,Gender_identity,660,165,24,ambig,neg,Gender_identity:165
bbq,Gender_identity,661,165,24,disambig,neg,Gender_identity:165
bbq,Gender_identity,662,165,24,ambig,nonneg,Gender_identity:165
bbq,Gender_identity,663,165,24,disambig,nonneg,Gender_identity:165
bbq,Gender_identity,664,166,25,ambig,neg,Gender_identity:166
