dataset,id,cross_id,unique_question_id,category,question_polarity,image_sha256,natural_unit_id
bbq_v,01_07_0480_2_01,01_07_0480_2,Q15,Age,neg,0d0af8eac8771c033517a826187a2fa42eb4b72ce6e4b6f0172e678112410387,Q15
bbq_v,01_07_0480_2_02,01_07_0480_2,Q15,Age,neg,630e4ef588893a83d8cc66fd217781fcc784fb7c970330684445f0ae2c6e0aa8,Q15
bbq_v,01_07_0480_2_03,01_07_0480_2,Q15,Age,neg,66b084eaf997590039b5b28e3fb2a1ac25c503f4b6aa1bb00a3ca8b46f738b63,Q15
bbq_v,01_07_0482_1_01,01_07_0482_1,Q15,Age,nonneg,0d0af8eac8771c033517a826187a2fa42eb4b72ce6e4b6f0172e678112410387,Q15
bbq_v,01_07_0482_1_02,01_07_0482_1,Q15,Age,nonneg,630e4ef588893a83d8cc66fd217781fcc784fb7c970330684445f0ae2c6e0aa8,Q15
bbq_v,01_07_0482_1_03,01_07_0482_1,Q15,Age,nonneg,66b084eaf997590039b5b28e3fb2a1ac25c503f4b6aa1bb00a3ca8b46f738b63,Q15
bbq_v,01_08_0596_2_01,01_08_0596_2,Q55,Age,neg,4e7c54e77ebbec3728e026ef863b50325410acee641f15023327f91f3e9e47c6,Q55
bbq_v,01_08_0596_2_02,01_08_0596_2,Q55,Age,neg,c39cecb2a4d96e634cb64e10190c889a695f92a81fb93f3b6b56a3c737af2024,Q55
bbq_v,01_08_0596_2_03,01_08_0596_2,Q55,Age,neg,5e4becde8e56856f61e04187f9425c78bb7e2669e10cf62a5274e1dfbe77e0e6,Q55
bbq_v,01_08_0598_1_01,01_08_0598_1,Q55,Age,nonneg,4e7c54e77ebbec3728e026ef863b50325410acee641f15023327f91f3e9e47c6,Q55
bbq_v,01_08_0598_1_02,01_08_0598_1,Q55,Age,nonneg,c39cecb2a4d96e634cb64e10190c889a695f92a81fb93f3b6b56a3c737af2024,Q55
bbq_v,01_08_0598_1_03,01_08_0598_1,Q55,Age,nonneg,5e4becde8e56856f61e04187f9425c78bb7e2669e10cf62a5274e1dfbe77e0e6,Q55
bbq_v,01_09_0664_2_01,01_09_0664_2,Q1656,Age,neg,a774ea3b48a2ec604494cdf73f31969e910a233f2147e5922ba3c60a41f78595,Q1656
bbq_v,01_09_0664_2_02,01_09_0664_2,Q1656,Age,neg,e5a6522739122f1af884845f2d96dd28d599cc163fd5c808978b6090822a6fb8,Q1656
bbq_v,01_09_0664_2_03,01_09_0664_2,Q1656,Age,neg,1f4621538b361a1be08802ceb89c748de84b1f87c57e31194d33d99f79a0bdf3,Q1656
bbq_v,01_09_0666_1_01,01_09_0666_1,Q1656,Age,nonneg,a774ea3b48a2ec604494cdf73f31969e910a233f2147e5922ba3c60a41f78595,Q1656
bbq_v,01_09_0666_1_02,01_09_0666_1,Q1656,Age,nonneg,e5a6522739122f1af884845f2d96dd28d599cc163fd5c808978b6090822a6fb8,Q1656
bbq_v,01_09_0666_1_03,01_09_0666_1,Q1656,Age,nonneg,1f4621538b361a1be08802ceb89c748de84b1f87c57e31194d33d99f79a0bdf3,Q1656
bbq_v,01_09_0684_2_01,01_09_0684_2,Q1660,Age,neg,7e3283939c68a6da314fa22705d6086feffd97d62a361c8b518acdec2366e11a,Q1660
bbq_v,01_09_0684_2_02,01_09_0684_2,Q1660,Age,neg,73ad49313fdfb583556f9ec434152d10db0b1a45d45c0bf31adc4800de735ac6,Q1660
bbq_v,01_09_0684_2_03,01_09_0684_2,Q1660,Age,neg,074f4a4c55f03a43bdb99097f05899ae1bff5b9a52bf61e087574e73e4df076a,Q1660
bbq_v,01_09_0686_1_01,01_09_0686_1,Q1660,Age,nonneg,7e3283939c68a6da314fa22705d6086feffd97d62a361c8b518acdec2366e11a,Q1660
bbq_v,01_09_0686_1_02,01_09_0686_1,Q1660,Age,nonneg,73ad49313fdfb583556f9ec434152d10db0b1a45d45c0bf31adc4800de735ac6,Q1660
bbq_v,01_09_0686_1_03,01_09_0686_1,Q1660,Age,nonneg,074f4a4c55f03a43bdb99097f05899ae1bff5b9a52bf61e087574e73e4df076a,Q1660
bbq_v,01_10_0736_2_01,01_10_0736_2,Q5889,Age,neg,7c8ef7277e8f9a81d0a5e2783c15d9ee2111c5d6fb986e22eef9a91bb99dd8c7,Q5889
bbq_v,01_10_0736_2_02,01_10_0736_2,Q5889,Age,neg,7d0f7cb44b529ff2995ce362d0c073f99db7823eb2522896e3d106af9ecc4dbb,Q5889
bbq_v,01_10_0736_2_03,01_10_0736_2,Q5889,Age,neg,603d2b5a7fa98ce7c353415f3bce8d36e2973a701786cb7ea3117bc0d293b34a,Q5889
bbq_v,01_10_0738_1_01,01_10_0738_1,Q5889,Age,nonneg,7c8ef7277e8f9a81d0a5e2783c15d9ee2111c5d6fb986e22eef9a91bb99dd8c7,Q5889
bbq_v,01_10_0738_1_02,01_10_0738_1,Q5889,Age,nonneg,7d0f7cb44b529ff2995ce362d0c073f99db7823eb2522896e3d106af9ecc4dbb,Q5889
bbq_v,01_10_0738_1_03,01_10_0738_1,Q5889,Age,nonneg,603d2b5a7fa98ce7c353415f3bce8d36e2973a701786cb7ea3117bc0d293b34a,Q5889
bbq_v,01_12_1068_2_01,01_12_1068_2,Q1357,Age,neg,5668d6abe20c31435efd0eb15e28bbda4de027622836aecc982d10da5a95ae8d,Q1357
bbq_v,01_12_1068_2_02,01_12_1068_2,Q1357,Age,neg,416d9c0f6a58dd88358b5445383c6044da37b1515b618c379a98b8806c3e6835,Q1357
bbq_v,01_12_1068_2_03,01_12_1068_2,Q1357,Age,neg,3b8ff2283f3081e1e9fd757039713799f958bf85c935e553262ac7624d32d76f,Q1357
bbq_v,01_12_1070_1_01,01_12_1070_1,Q1357,Age,nonneg,5668d6abe20c31435efd0eb15e28bbda4de027622836aecc982d10da5a95ae8d,Q1357
bbq_v,01_12_1070_1_02,01_12_1070_1,Q1357,Age,nonneg,416d9c0f6a58dd88358b5445383c6044da37b1515b618c379a98b8806c3e6835,Q1357
bbq_v,01_12_1070_1_03,01_12_1070_1,Q1357,Age,nonneg,3b8ff2283f3081e1e9fd757039713799f958bf85c935e553262ac7624d32d76f,Q1357
bbq_v,01_14_1260_2_01,01_14_1260_2,Q1453,Age,neg,ba45a4210a660adb1a82ad85dcd6bd89abd9eecef8276b7d228ebd21ee1645ac,Q1453
bbq_v,01_14_1260_2_03,01_14_1260_2,Q1453,Age,neg,92026fbb035dd332cd7e0b823ab7736322bdc30dd48513a67b0c7151c8d25f7f,Q1453
bbq_v,01_14_1262_1_01,01_14_1262_1,Q1453,Age,nonneg,ba45a4210a660adb1a82ad85dcd6bd89abd9eecef8276b7d228ebd21ee1645ac,Q1453
bbq_v,01_14_1262_1_03,01_14_1262_1,Q1453,Age,nonneg,92026fbb035dd332cd7e0b823ab7736322bdc30dd48513a67b0c7151c8d25f7f,Q1453
bbq_v,01_15_1304_2_01,01_15_1304_2,Q429,Age,neg,db3eff8dbbe958064b77b3c13287554b3a77deea49798ff397b9845b97beb149,Q429
bbq_v,01_15_1304_2_02,01_15_1304_2,Q429,Age,neg,4de7b00f1e01df0721bd3ef362d2691ea5b120f1add518cba24a0e963c123ad1,Q429
bbq_v,01_15_1304_2_03,01_15_1304_2,Q429,Age,neg,e2834004af5477182ec78ec88bd98d1cad701ed4ea833e47161c22c1c4c0332d,Q429
bbq_v,01_15_1306_1_01,01_15_1306_1,Q429,Age,nonneg,db3eff8dbbe958064b77b3c13287554b3a77deea49798ff397b9845b97beb149,Q429
bbq_v,01_15_1306_1_02,01_15_1306_1,Q429,Age,nonneg,4de7b00f1e01df0721bd3ef362d2691ea5b120f1add518cba24a0e963c123ad1,Q429
bbq_v,01_15_1306_1_03,01_15_1306_1,Q429,Age,nonneg,e2834004af5477182ec78ec88bd98d1cad701ed4ea833e47161c22c1c4c0332d,Q429
bbq_v,01_16_1352_2_01,01_16_1352_2,Q3199,Age,neg,195f7dff9db3c5c1db09011a31b2afd42df612839b6cb9f156ae4a3a1cc7553e,Q3199
bbq_v,01_16_1352_2_02,01_16_1352_2,Q3199,Age,neg,a42763953ff704ce0344dbe6b626cb327d6a6bdf7ab886f59a0fa1e03de58049,Q3199
bbq_v,01_16_1352_2_03,01_16_1352_2,Q3199,Age,neg,56435b27f7292a3dc35d33a78f87cdc0b88ba6370b89607b767e69db147cb8ee,Q3199
bbq_v,01_16_1354_1_01,01_16_1354_1,Q3199,Age,nonneg,195f7dff9db3c5c1db09011a31b2afd42df612839b6cb9f156ae4a3a1cc7553e,Q3199
bbq_v,01_16_1354_1_02,01_16_1354_1,Q3199,Age,nonneg,a42763953ff704ce0344dbe6b626cb327d6a6bdf7ab886f59a0fa1e03de58049,Q3199
bbq_v,01_16_1354_1_03,01_16_1354_1,Q3199,Age,nonneg,56435b27f7292a3dc35d33a78f87cdc0b88ba6370b89607b767e69db147cb8ee,Q3199
bbq_v,01_16_1484_2_01,01_16_1484_2,Q3192,Age,neg,f088b81d1bde08787b7cfb7de7a2b1e1e8cdbe1515d80695652879af42b89532,Q3192
bbq_v,01_16_1484_2_02,01_16_1484_2,Q3192,Age,neg,cc55313c2ac940c761a8147e38dbce4a494087647d0b339aeb36cb18a1751905,Q3192
bbq_v,01_16_1484_2_03,01_16_1484_2,Q3192,Age,neg,a8a05da492fffe81430acb540a3eca2a54e3fe7a3e81e608f0fd572c65fbe9db,Q3192
bbq_v,01_16_1486_1_01,01_16_1486_1,Q3192,Age,nonneg,f088b81d1bde08787b7cfb7de7a2b1e1e8cdbe1515d80695652879af42b89532,Q3192
bbq_v,01_16_1486_1_02,01_16_1486_1,Q3192,Age,nonneg,cc55313c2ac940c761a8147e38dbce4a494087647d0b339aeb36cb18a1751905,Q3192
bbq_v,01_16_1486_1_03,01_16_1486_1,Q3192,Age,nonneg,a8a05da492fffe81430acb540a3eca2a54e3fe7a3e81e608f0fd572c65fbe9db,Q3192
bbq_v,01_18_1688_2_01,01_18_1688_2,Q1909,Age,neg,8664734b960b8dccd4ae3dc613f36c1bd616509957729e1ef0584189fda43348,Q1909
bbq_v,01_18_1688_2_02,01_18_1688_2,Q1909,Age,neg,d4611cf3dae0c56f67e3f9300809c187c4eac07d914eea6d55440835e065a6c1,Q1909
bbq_v,01_18_1688_2_03,01_18_1688_2,Q1909,Age,neg,7bcf4b226f1f1aa2e473b2d749ba787c96cee63da3f01a4b1f3d98008cf4a73d,Q1909
bbq_v,01_18_1690_1_01,01_18_1690_1,Q1909,Age,nonneg,8664734b960b8dccd4ae3dc613f36c1bd616509957729e1ef0584189fda43348,Q1909
bbq_v,01_18_1690_1_02,01_18_1690_1,Q1909,Age,nonneg,d4611cf3dae0c56f67e3f9300809c187c4eac07d914eea6d55440835e065a6c1,Q1909
bbq_v,01_18_1690_1_03,01_18_1690_1,Q1909,Age,nonneg,7bcf4b226f1f1aa2e473b2d749ba787c96cee63da3f01a4b1f3d98008cf4a73d,Q1909
bbq_v,01_18_1820_2_01,01_18_1820_2,Q1873,Age,neg,425668fba8810117937ae738a0aabf419aa2459a323f38ec3786222dfb26df7f,Q1873
bbq_v,01_18_1820_2_02,01_18_1820_2,Q1873,Age,neg,f25fb890d54294003ae51634baf5e369674ec8efd0eec28d0ae9363284fc2ef1,Q1873
bbq_v,01_18_1820_2_03,01_18_1820_2,Q1873,Age,neg,afd1a05af3b51d2aeb45739c8390c49303eac850efc29afe3f5e4f1ff9df43bc,Q1873
bbq_v,01_18_1822_1_01,01_18_1822_1,Q1873,Age,nonneg,425668fba8810117937ae738a0aabf419aa2459a323f38ec3786222dfb26df7f,Q1873
bbq_v,01_18_1822_1_02,01_18_1822_1,Q1873,Age,nonneg,f25fb890d54294003ae51634baf5e369674ec8efd0eec28d0ae9363284fc2ef1,Q1873
bbq_v,01_18_1822_1_03,01_18_1822_1,Q1873,Age,nonneg,afd1a05af3b51d2aeb45739c8390c49303eac850efc29afe3f5e4f1ff9df43bc,Q1873
bbq_v,01_19_1904_2_01,01_19_1904_2,Q5354,Age,neg,ae755eaea5092f164ee92aed02727bd6bd6006811fe2944915b90a1d14bef8fa,Q5354
bbq_v,01_19_1904_2_02,01_19_1904_2,Q5354,Age,neg,153978cfd8cce2dd0d4839331e475b99f47244f1517e0b08c8f9a3e8c602ca06,Q5354
bbq_v,01_19_1906_1_01,01_19_1906_1,Q5354,Age,nonneg,ae755eaea5092f164ee92aed02727bd6bd6006811fe2944915b90a1d14bef8fa,Q5354
bbq_v,01_19_1906_1_02,01_19_1906_1,Q5354,Age,nonneg,153978cfd8cce2dd0d4839331e475b99f47244f1517e0b08c8f9a3e8c602ca06,Q5354
bbq_v,01_19_2072_2_01,01_19_2072_2,Q5404,Age,neg,749ec26750071cea0155342c83409b5c67e18d4230c25fceb374326441f6ca51,Q5404
bbq_v,01_19_2072_2_02,01_19_2072_2,Q5404,Age,neg,01622aa47283a6ee73204958618668cda508d5c844c07441ebc7fcbd492bcc4e,Q5404
bbq_v,01_19_2072_2_03,01_19_2072_2,Q5404,Age,neg,13def5befba5b5008b4e8b9d26b22b886a7c11592fe77a1d5a717890c3a1d9f4,Q5404
bbq_v,01_19_2074_1_01,01_19_2074_1,Q5404,Age,nonneg,749ec26750071cea0155342c83409b5c67e18d4230c25fceb374326441f6ca51,Q5404
bbq_v,01_19_2074_1_02,01_19_2074_1,Q5404,Age,nonneg,01622aa47283a6ee73204958618668cda508d5c844c07441ebc7fcbd492bcc4e,Q5404
bbq_v,01_19_2074_1_03,01_19_2074_1,Q5404,Age,nonneg,13def5befba5b5008b4e8b9d26b22b886a7c11592fe77a1d5a717890c3a1d9f4,Q5404
bbq_v,01_20_2224_2_01,01_20_2224_2,Q3443,Age,neg,87fb31766aef343e3e94f0c924c6e8ec98216a4ad63953b60213efd157211154,Q3443
bbq_v,01_20_2224_2_03,01_20_2224_2,Q3443,Age,neg,c095b26bc40f73c4b3572dfcaae4598744d45874ff677f926bbeb62f232fb2e8,Q3443
bbq_v,01_20_2226_1_01,01_20_2226_1,Q3443,Age,nonneg,87fb31766aef343e3e94f0c924c6e8ec98216a4ad63953b60213efd157211154,Q3443
bbq_v,01_20_2226_1_03,01_20_2226_1,Q3443,Age,nonneg,c095b26bc40f73c4b3572dfcaae4598744d45874ff677f926bbeb62f232fb2e8,Q3443
bbq_v,01_20_2248_2_01,01_20_2248_2,Q3446,Age,neg,fee6f92c9782786ee9bfb95713d851bbb7f74d9be4a1ecf0953566796e171a23,Q3446
bbq_v,01_20_2248_2_02,01_20_2248_2,Q3446,Age,neg,909e3165a60003f58be6daef35de426f7d37612c50acf9df5372346927fa086f,Q3446
bbq_v,01_20_2248_2_03,01_20_2248_2,Q3446,Age,neg,8207e810ee35c879dbfd3b72f62ae781513c40a28f70333d733ed4a29ba9a0a0,Q3446
bbq_v,01_20_2250_1_01,01_20_2250_1,Q3446,Age,nonneg,fee6f92c9782786ee9bfb95713d851bbb7f74d9be4a1ecf0953566796e171a23,Q3446
bbq_v,01_20_2250_1_02,01_20_2250_1,Q3446,Age,nonneg,909e3165a60003f58be6daef35de426f7d37612c50acf9df5372346927fa086f,Q3446
bbq_v,01_20_2250_1_03,01_20_2250_1,Q3446,Age,nonneg,8207e810ee35c879dbfd3b72f62ae781513c40a28f70333d733ed4a29ba9a0a0,Q3446
bbq_v,01_20_2256_2_01,01_20_2256_2,Q3436,Age,neg,41a38f0d2edea85daef917ab8a261ea9c86c15519cadabad009563c1cfbf288f,Q3436
bbq_v,01_20_2256_2_02,01_20_2256_2,Q3436,Age,neg,9db54759722e3984e0e878c8f55fbc87591852572482c44584ea0d0d263c2dde,Q3436
bbq_v,01_20_2256_2_03,01_20_2256_2,Q3436,Age,neg,4984294a759645c13330f08118d754a68af80c4ae8c4e0d3ca916e4c1671ce79,Q3436
bbq_v,01_20_2258_1_01,01_20_2258_1,Q3436,Age,nonneg,41a38f0d2edea85daef917ab8a261ea9c86c15519cadabad009563c1cfbf288f,Q3436
bbq_v,01_20_2258_1_02,01_20_2258_1,Q3436,Age,nonneg,9db54759722e3984e0e878c8f55fbc87591852572482c44584ea0d0d263c2dde,Q3436
bbq_v,01_20_2258_1_03,01_20_2258_1,Q3436,Age,nonneg,4984294a759645c13330f08118d754a68af80c4ae8c4e0d3ca916e4c1671ce79,Q3436
bbq_v,01_21_2288_2_01,01_21_2288_2,Q2832,Age,neg,27f328029b2f4d44845f1b3bba63abacb476478ff35b9b6f2e174341d00f67be,Q2832
bbq_v,01_21_2288_2_02,01_21_2288_2,Q2832,Age,neg,413893635da795807c2232697a35972ff7b028baf8456f34a89eb11ada7272d7,Q2832
bbq_v,01_21_2288_2_03,01_21_2288_2,Q2832,Age,neg,589949a959795225968e2b328ab54bdf216fd42f622b2fea492f9bdceca13437,Q2832
bbq_v,01_21_2290_1_01,01_21_2290_1,Q2832,Age,nonneg,27f328029b2f4d44845f1b3bba63abacb476478ff35b9b6f2e174341d00f67be,Q2832
bbq_v,01_21_2290_1_02,01_21_2290_1,Q2832,Age,nonneg,413893635da795807c2232697a35972ff7b028baf8456f34a89eb11ada7272d7,Q2832
bbq_v,01_21_2290_1_03,01_21_2290_1,Q2832,Age,nonneg,589949a959795225968e2b328ab54bdf216fd42f622b2fea492f9bdceca13437,Q2832
bbq_v,01_21_2352_2_01,01_21_2352_2,Q2861,Age,neg,f0a34a5fef0d53e8ed2dd422a5e84b44fd4113c1b738def7221b4ea26e7378dd,Q2861
bbq_v,01_21_2352_2_02,01_21_2352_2,Q2861,Age,neg,c15f5c852c47718bb7f5480ed9f47dca52cea738360e7307d78b2e449945e8e1,Q2861
bbq_v,01_21_2352_2_03,01_21_2352_2,Q2861,Age,neg,dba293a5b7d5d258609f8bd749ce44d07a8b95e55aa284a5e4799f3fdc286628,Q2861
bbq_v,01_21_2354_1_01,01_21_2354_1,Q2861,Age,nonneg,f0a34a5fef0d53e8ed2dd422a5e84b44fd4113c1b738def7221b4ea26e7378dd,Q2861
bbq_v,01_21_2354_1_02,01_21_2354_1,Q2861,Age,nonneg,c15f5c852c47718bb7f5480ed9f47dca52cea738360e7307d78b2e449945e8e1,Q2861
bbq_v,01_21_2354_1_03,01_21_2354_1,Q2861,Age,nonneg,dba293a5b7d5d258609f8bd749ce44d07a8b95e55aa284a5e4799f3fdc286628,Q2861
bbq_v,01_21_2472_2_01,01_21_2472_2,Q2869,Age,neg,92e2e726789dd4d2ea4e3a3706af25a6928e7379c251dc0b3b2b1983fd21925c,Q2869
bbq_v,01_21_2472_2_02,01_21_2472_2,Q2869,Age,neg,a8ed7c9cdfe90db6069adb654ce8e66e6570117cf5714b83cf7c2897bf6a40fc,Q2869
bbq_v,01_21_2472_2_03,01_21_2472_2,Q2869,Age,neg,6ea2ccfdf6c8445f80f8d73be066e875fbd64b6b9f199ef417bad68957bd2633,Q2869
bbq_v,01_21_2474_1_01,01_21_2474_1,Q2869,Age,nonneg,92e2e726789dd4d2ea4e3a3706af25a6928e7379c251dc0b3b2b1983fd21925c,Q2869
bbq_v,01_21_2474_1_02,01_21_2474_1,Q2869,Age,nonneg,a8ed7c9cdfe90db6069adb654ce8e66e6570117cf5714b83cf7c2897bf6a40fc,Q2869
bbq_v,01_21_2474_1_03,01_21_2474_1,Q2869,Age,nonneg,6ea2ccfdf6c8445f80f8d73be066e875fbd64b6b9f199ef417bad68957bd2633,Q2869
bbq_v,01_21_2476_2_01,01_21_2476_2,Q2871,Age,neg,a1b4ca1bad64ef4f68fbbac727615154d3cf8a5962989e524f37d34552f7ce4b,Q2871
bbq_v,01_21_2476_2_02,01_21_2476_2,Q2871,Age,neg,c5d85bced79298c172cb7587cee5deec3a0b7b8d4e7b3f058a91f3e18d0f96b4,Q2871
bbq_v,01_21_2476_2_03,01_21_2476_2,Q2871,Age,neg,ea34956dd55c339eb79b8ab7ae224361f5b8ebf589f6c434d54cf814b16cbb98,Q2871
bbq_v,01_21_2478_1_01,01_21_2478_1,Q2871,Age,nonneg,a1b4ca1bad64ef4f68fbbac727615154d3cf8a5962989e524f37d34552f7ce4b,Q2871
bbq_v,01_21_2478_1_02,01_21_2478_1,Q2871,Age,nonneg,c5d85bced79298c172cb7587cee5deec3a0b7b8d4e7b3f058a91f3e18d0f96b4,Q2871
bbq_v,01_21_2478_1_03,01_21_2478_1,Q2871,Age,nonneg,ea34956dd55c339eb79b8ab7ae224361f5b8ebf589f6c434d54cf814b16cbb98,Q2871
bbq_v,01_22_2620_2_01,01_22_2620_2,Q7046,Age,neg,51dc2357f7b813e9dffb29170ffb02eb4aec392af5f20e08bf9f8b2fc87db870,Q7046
bbq_v,01_22_2620_2_02,01_22_2620_2,Q7046,Age,neg,1d117c8a23d6db71589261a5dc887543119b39083b3248ea8a11ddfa88a0b40d,Q7046
bbq_v,01_22_2620_2_03,01_22_2620_2,Q7046,Age,neg,b94f8e8ee3eddbf1711bc4601155dba1aff9eb76c24dff766bd70f6c2b885d23,Q7046
bbq_v,01_22_2622_1_01,01_22_2622_1,Q7046,Age,nonneg,51dc2357f7b813e9dffb29170ffb02eb4aec392af5f20e08bf9f8b2fc87db870,Q7046
bbq_v,01_22_2622_1_02,01_22_2622_1,Q7046,Age,nonneg,1d117c8a23d6db71589261a5dc887543119b39083b3248ea8a11ddfa88a0b40d,Q7046
bbq_v,01_22_2622_1_03,01_22_2622_1,Q7046,Age,nonneg,b94f8e8ee3eddbf1711bc4601155dba1aff9eb76c24dff766bd70f6c2b885d23,Q7046
bbq_v,01_22_2660_2_01,01_22_2660_2,Q7057,Age,neg,f9c0e62d396aa692e9e508eb95980b72ca220f09133501899a81893667bd5418,Q7057
bbq_v,01_22_2660_2_02,01_22_2660_2,Q7057,Age,neg,9b3edc40d483549f709527495c1e3c41136cd1e38013907686faae9adf01e0ce,Q7057
bbq_v,01_22_2660_2_03,01_22_2660_2,Q7057,Age,neg,5362fa5db8bcbae30d680f88b1caf17c0aa3c730060aa56ec15addd60c150a72,Q7057
bbq_v,01_22_2662_1_01,01_22_2662_1,Q7057,Age,nonneg,f9c0e62d396aa692e9e508eb95980b72ca220f09133501899a81893667bd5418,Q7057
bbq_v,01_22_2662_1_02,01_22_2662_1,Q7057,Age,nonneg,9b3edc40d483549f709527495c1e3c41136cd1e38013907686faae9adf01e0ce,Q7057
bbq_v,01_22_2662_1_03,01_22_2662_1,Q7057,Age,nonneg,5362fa5db8bcbae30d680f88b1caf17c0aa3c730060aa56ec15addd60c150a72,Q7057
bbq_v,01_22_2744_2_01,01_22_2744_2,Q7078,Age,neg,dd440c857321f354c17b631a5d09a99835a9de7efa436dfc56b50fb24a1188f7,Q7078
